# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   85       3.030302331295e-10       7.306808800899e-14      -1.826048262718e-12       0.000000000000e+00       1.541389841265e-11       1.962427316179e-12      -7.966561024589e-15 
   86       3.067855410252e-10       7.513780918695e-14      -1.906715613462e-12       0.000000000000e+00       1.496674819411e-11       1.915238998316e-12      -7.921586041286e-15 
   87       3.105737670320e-10       7.721467299865e-14      -1.988370669349e-12       0.000000000000e+00       1.453660304078e-11       1.869741371744e-12      -7.885282928371e-15 
   88       3.143948664572e-10       7.929696595866e-14      -2.070958689249e-12       0.000000000000e+00       1.412302616097e-11       1.825890650760e-12      -7.855247522635e-15 
   89       3.182485335463e-10       8.138293032731e-14      -2.154423157459e-12       0.000000000000e+00       1.372536284675e-11       1.783620031116e-12      -7.828792684432e-15 
   90       3.221341894394e-10       8.347076415101e-14      -2.238705789574e-12       0.000000000000e+00       1.334273213138e-11       1.742838801432e-12      -7.802939587106e-15 
   91       3.260509701282e-10       8.555862130255e-14      -2.323746538358e-12       0.000000000000e+00       1.297401844664e-11       1.703431454630e-12      -7.774409006412e-15 
   92       3.299977144125e-10       8.764461152142e-14      -2.409483599608e-12       0.000000000000e+00       1.261786328016e-11       1.665256799344e-12      -7.739612609939e-15 
   93       3.339733169887e-10       8.972682836946e-14      -2.495854283203e-12       0.000000000000e+00       1.227298756726e-11       1.628182476928e-12      -7.695478871285e-15 
   94       3.379778746185e-10       9.180343782002e-14      -2.582797763366e-12       0.000000000000e+00       1.193923245229e-11       1.592196380868e-12      -7.642091825091e-15 
   95       3.420116908795e-10       9.387260312914e-14      -2.670252754817e-12       0.000000000000e+00       1.161666036144e-11       1.557310429940e-12      -7.580434922620e-15 
   96       3.460749194562e-10       9.593245852517e-14      -2.758156701953e-12       0.000000000000e+00       1.130523446380e-11       1.523526258579e-12      -7.511594478185e-15 
   97       3.501675571094e-10       9.798110963228e-14      -2.846445796594e-12       0.000000000000e+00       1.100481486857e-11       1.490834814315e-12      -7.436762415330e-15 
   98       3.542894366448e-10       1.000166338940e-13      -2.935054995727e-12       0.000000000000e+00       1.071515482236e-11       1.459215955195e-12      -7.357239013013e-15 
   99       3.584402198818e-10       1.020370809965e-13      -3.023918039252e-12       0.000000000000e+00       1.043589690654e-11       1.428638047219e-12      -7.274435651779e-15 
  100       3.626193906225e-10       1.040404732925e-13      -3.112967467722e-12       0.000000000000e+00       1.016656923444e-11       1.399057561766e-12      -7.189877559946e-15 
  101       3.668262476206e-10       1.060248062242e-13      -3.202134640091e-12       0.000000000000e+00       9.906581648708e-12       1.370418673021e-12      -7.105206559784e-15 
  102       3.710598975502e-10       1.079880487475e-13      -3.291349751458e-12       0.000000000000e+00       9.655221918576e-12       1.342652855409e-12      -7.022183813690e-15 
  103       3.753192479746e-10       1.099281437548e-13      -3.380541850807e-12       0.000000000000e+00       9.411651937142e-12       1.315678481021e-12      -6.942692570375e-15 
  104       3.796032375893e-10       1.118430595637e-13      -3.469639419816e-12       0.000000000000e+00       9.175097740142e-12       1.289420019121e-12      -6.868334100919e-15 
  105       3.839115775172e-10       1.137309513913e-13      -3.558572160075e-12       0.000000000000e+00       8.945456986342e-12       1.263869455510e-12      -6.799147428424e-15 
  106       3.882440975094e-10       1.155900225840e-13      -3.647269481499e-12       0.000000000000e+00       8.722766831575e-12       1.239032458146e-12      -6.734720967048e-15 
  107       3.926005132433e-10       1.174184764727e-13      -3.735659986448e-12       0.000000000000e+00       8.507015782635e-12       1.214909331047e-12      -6.674582184846e-15 
  108       3.969804218990e-10       1.192145173581e-13      -3.823671493637e-12       0.000000000000e+00       8.298142024479e-12       1.191494827139e-12      -6.618195879509e-15 
  109       4.013832977353e-10       1.209763514945e-13      -3.911231062048e-12       0.000000000000e+00       8.096031747415e-12       1.168777961085e-12      -6.564962454102e-15 
  110       4.058084876660e-10       1.227021880755e-13      -3.998265014838e-12       0.000000000000e+00       7.900517474307e-12       1.146741822126e-12      -6.514216192805e-15 
  111       4.102552068363e-10       1.243902402178e-13      -4.084698963247e-12       0.000000000000e+00       7.711376387761e-12       1.125363386915e-12      -6.465223536649e-15 
  112       4.147225341991e-10       1.260387259460e-13      -4.170457830512e-12       0.000000000000e+00       7.528328657329e-12       1.104613332355e-12      -6.417181359258e-15 
  113       4.192094080913e-10       1.276458691778e-13      -4.255465875775e-12       0.000000000000e+00       7.351035766701e-12       1.084455848435e-12      -6.369215242584e-15 
  114       4.237146218098e-10       1.292099007079e-13      -4.339646717989e-12       0.000000000000e+00       7.179098840897e-12       1.064848451066e-12      -6.320377752653e-15 
  115       4.282368191880e-10       1.307290591931e-13      -4.422923359834e-12       0.000000000000e+00       7.012056973472e-12       1.045741794920e-12      -6.269646715296e-15 
  116       4.327746861611e-10       1.322016401705e-13      -4.505219150998e-12       0.000000000000e+00       6.849488286098e-12       1.027090471779e-12      -6.216142953787e-15 
  117       4.373275613415e-10       1.336261477685e-13      -4.586460759783e-12       0.000000000000e+00       6.691330622937e-12       1.008887295160e-12      -6.159817220859e-15 
  118       4.418948917165e-10       1.350011633757e-13      -4.666575609372e-12       0.000000000000e+00       6.537596886873e-12       9.911328519922e-13      -6.100843935521e-15 
  119       4.464760406397e-10       1.363253006521e-13      -4.745491002648e-12       0.000000000000e+00       6.388275039723e-12       9.738248010246e-13      -6.039409407955e-15 
  120       4.510702851404e-10       1.375972069379e-13      -4.823134154403e-12       0.000000000000e+00       6.243327337770e-12       9.569577827932e-13      -5.975712055683e-15 
  121       4.556768132325e-10       1.388155646634e-13      -4.899432223562e-12       0.000000000000e+00       6.102689567284e-12       9.405233295885e-13      -5.909962619728e-15 
  122       4.602947212241e-10       1.399790927582e-13      -4.974312345393e-12       0.000000000000e+00       5.966270280056e-12       9.245097754236e-13      -5.842384380772e-15 
  123       4.649230110261e-10       1.410865480600e-13      -5.047701663723e-12       0.000000000000e+00       5.833950028924e-12       9.089021660018e-13      -5.773213375327e-15 
  124       4.695605874620e-10       1.421367267249e-13      -5.119527363155e-12       0.000000000000e+00       5.705580603300e-12       8.936821686835e-13      -5.702698611890e-15 
  125       4.742062555764e-10       1.431284656360e-13      -5.189716701281e-12       0.000000000000e+00       5.580984264700e-12       8.788279824547e-13      -5.631102287109e-15 
  126       4.788587179447e-10       1.440606438131e-13      -5.258197040901e-12       0.000000000000e+00       5.459952982271e-12       8.643142478939e-13      -5.558700001945e-15 
  127       4.835165719818e-10       1.449321838219e-13      -5.324895882235e-12       0.000000000000e+00       5.342247668319e-12       8.501119571404e-13      -5.485780977835e-15 
  128       4.881783072517e-10       1.457420531834e-13      -5.389740895142e-12       0.000000000000e+00       5.227597413839e-12       8.361883638610e-13      -5.412648272852e-15 
  129       4.928424572968e-10       1.464893061031e-13      -5.452660664100e-12       0.000000000000e+00       5.115757717935e-12       8.225146531409e-13      -5.339575400069e-15 
  130       4.975080796737e-10       1.471732108408e-13      -5.513586947134e-12       0.000000000000e+00       5.006694022107e-12       8.090900936877e-13      -5.266670342826e-15 
  131       5.021743237380e-10       1.477931390419e-13      -5.572452726732e-12       0.000000000000e+00       4.900416958931e-12       7.959203773447e-13      -5.193996960834e-15 
  132       5.068402792746e-10       1.483485283510e-13      -5.629191556238e-12       0.000000000000e+00       4.796924823997e-12       7.830100625046e-13      -5.121617155893e-15 
  133       5.115049749129e-10       1.488388841098e-13      -5.683737597166e-12       0.000000000000e+00       4.696203233570e-12       7.703625396041e-13      -5.049590776087e-15 
  134       5.161673765414e-10       1.492637810555e-13      -5.736025656517e-12       0.000000000000e+00       4.598224782261e-12       7.579799966190e-13      -4.977975519979e-15 
  135       5.208263857226e-10       1.496228650179e-13      -5.785991224094e-12       0.000000000000e+00       4.502948700692e-12       7.458633845590e-13      -4.906826840798e-15 
  136       5.254808381079e-10       1.499158546176e-13      -5.833570509819e-12       0.000000000000e+00       4.410320513165e-12       7.340123829619e-13      -4.836197850636e-15 
  137       5.301295018524e-10       1.501425429641e-13      -5.878700481049e-12       0.000000000000e+00       4.320271695326e-12       7.224253653893e-13      -4.766139224641e-15 
  138       5.347710760297e-10       1.503027993533e-13      -5.921318899888e-12       0.000000000000e+00       4.232719331834e-12       7.110993649204e-13      -4.696699105206e-15 
  139       5.394041890470e-10       1.503965709653e-13      -5.961364360510e-12       0.000000000000e+00       4.147565774026e-12       7.000300396476e-13      -4.627923006162e-15 
