# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  130       4.977947483695e-10       1.476881087054e-13      -5.503286920632e-12       7.007687546120e-16       5.006694022107e-12       8.090900936877e-13      -5.266670342826e-15 
  131       5.024554449542e-10       1.483177376287e-13      -5.561774191032e-12       7.121642475011e-16       4.900416958931e-12       7.959203773447e-13      -5.193996960834e-15 
  132       5.071155612873e-10       1.488831691669e-13      -5.618129536538e-12       7.236753016449e-16       4.796924823997e-12       7.830100625046e-13      -5.121617155893e-15 
  133       5.117741226989e-10       1.493839236953e-13      -5.672287348686e-12       7.353027216096e-16       4.696203233570e-12       7.703625396041e-13      -5.049590776087e-15 
  134       5.164300918318e-10       1.498195913863e-13      -5.724182676871e-12       7.470473177954e-16       4.598224782261e-12       7.579799966190e-13      -4.977975519979e-15 
  135       5.210823670567e-10       1.501898339123e-13      -5.773751265855e-12       7.589099063602e-16       4.502948700692e-12       7.458633845590e-13      -4.906826840798e-15 
  136       5.257297808893e-10       1.504943861478e-13      -5.820929593275e-12       7.708913091440e-16       4.410320513165e-12       7.340123829619e-13      -4.836197850636e-15 
  137       5.303710984057e-10       1.507330578723e-13      -5.865654907153e-12       7.829923535929e-16       4.320271695326e-12       7.224253653893e-13      -4.766139224641e-15 
  138       5.350050156588e-10       1.509057354722e-13      -5.907865263406e-12       7.952138726822e-16       4.232719331834e-12       7.110993649204e-13      -4.696699105206e-15 
  139       5.396301580944e-10       1.510123836438e-13      -5.947499563353e-12       8.075567048411e-16       4.147565774026e-12       7.000300396476e-13      -4.627923006162e-15 
  140       5.442450789672e-10       1.510530470955e-13      -5.984497591226e-12       8.200216938766e-16       4.064698297587e-12       6.892116381709e-13      -4.559853716975e-15 
  141       5.488482577572e-10       1.510278522506e-13      -6.018800051674e-12       8.326096888966e-16       3.983988760213e-12       6.786369650926e-13      -4.492531206933e-15 
  142       5.534380985854e-10       1.509370089490e-13      -6.050348607280e-12       8.453215442350e-16       3.905293259282e-12       6.682973465123e-13      -4.425992529342e-15 
  143       5.580129286303e-10       1.507808121508e-13      -6.079085916062e-12       8.581581193746e-16       3.828451789516e-12       6.581825955215e-13      -4.360271725717e-15 
  144       5.625711341126e-10       1.505596553407e-13      -6.104956218577e-12       8.711202285065e-16       3.753321790633e-12       6.482831952348e-13      -4.295390687560e-15 
  145       5.671115867043e-10       1.502740686396e-13      -6.127907085263e-12       8.842084837637e-16       3.679883240501e-12       6.385971632854e-13      -4.231330928592e-15 
  146       5.716332563422e-10       1.499246877045e-13      -6.147887913465e-12       8.974234363153e-16       3.608143320233e-12       6.291238016346e-13      -4.168058834559e-15 
  147       5.761350766486e-10       1.495122441170e-13      -6.164849433623e-12       9.107656249823e-16       3.538103308296e-12       6.198615182358e-13      -4.105534309296e-15 
  148       5.806159441374e-10       1.490375671531e-13      -6.178743749933e-12       9.242355758712e-16       3.469758432942e-12       6.108078052735e-13      -4.043710626945e-15 
  149       5.850747174207e-10       1.485015855529e-13      -6.189524381021e-12       9.378338020090e-16       3.403097724653e-12       6.019592174031e-13      -3.982534284187e-15 
  150       5.895102164162e-10       1.479053292902e-13      -6.197146300609e-12       9.515608029776e-16       3.338103868573e-12       5.933113499894e-13      -3.921944852459e-15 
  151       5.939212215532e-10       1.472499313424e-13      -6.201565978178e-12       9.654170645479e-16       3.274753056943e-12       5.848588173464e-13      -3.861874830185e-15 
  152       5.983064729800e-10       1.465366294604e-13      -6.202741419642e-12       9.794030583149e-16       3.213014841544e-12       5.765952309764e-13      -3.802249494998e-15 
  153       6.026646697701e-10       1.457667679378e-13      -6.200632208012e-12       9.935192413314e-16       3.152851986129e-12       5.685131778090e-13      -3.742986755965e-15 
  154       6.069944691293e-10       1.449417993811e-13      -6.195199544061e-12       1.007766055743e-15       3.094220318862e-12       5.606041984407e-13      -3.683997005810e-15 
  155       6.112944856023e-10       1.440632864795e-13      -6.186406286997e-12       1.022143928423e-15       3.037068584752e-12       5.528587653741e-13      -3.625182973142e-15 
  156       6.155632902793e-10       1.431329037741e-13      -6.174216995128e-12       1.036653270604e-15       2.981338298097e-12       5.452662612568e-13      -3.566439574676e-15 
  157       6.197994100031e-10       1.421524394282e-13      -6.158597966527e-12       1.051294477518e-15       2.926963594910e-12       5.378149571209e-13      -3.507653767461e-15 
  158       6.240013265755e-10       1.411237969967e-13      -6.139517279704e-12       1.066067928026e-15       2.873871085367e-12       5.304919906224e-13      -3.448704401102e-15 
  159       6.281674759642e-10       1.400489971959e-13      -6.116944834269e-12       1.080973984252e-15       2.821979706237e-12       5.232833442799e-13      -3.389462069986e-15 
  160       6.322962475095e-10       1.389301796733e-13      -6.090852391602e-12       1.096012991222e-15       2.771200573320e-12       5.161738237145e-13      -3.329788965505e-15 
  161       6.363860929993e-10       1.377695553139e-13      -6.061213449484e-12       1.111185239606e-15       2.721455193096e-12       5.091503949634e-13      -3.269573832238e-15 
  162       6.404358663986e-10       1.365692547033e-13      -6.028002768151e-12       1.126490851014e-15       2.672732217311e-12       5.022125737646e-13      -3.208840620633e-15 
