# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_gsf            15:(.)p_gsf              16:(.)p_prime_gsf        17:(.)cs2_gsf            18:(.)w_gsf              19:phi_gsf               20:phi'_gsf              21:phi''_gsf             22:V_gsf                 23:V'_gsf                24:V''_gsf               25:P_gsf                 26:PX_gsf                27:Pphi_gsf              28:PXX_gsf               29:PXphi_gsf             30:Pphiphi_gsf           31:PXXX_gsf              32:PXXphi_gsf            33:PXphiphi_gsf          34:A_gsf                 35:B_gsf                 36:C_dif_gsf             37:D_gsf                 38:(.)rho_tot            39:(.)p_tot              40:(.)p_tot_prime        41:gr.fac. D             42:gr.fac. f          
       1.134685624404e+02       1.354573040750e-02       1.237217244959e+03       1.567754741196e-01       1.276697554189e+04       1.115325926150e+02       1.461417336992e+06       4.441304593231e+02       4.724153351598e-04       3.735353382814e-03       2.004413909012e-02       3.265876538711e-04       2.457854928541e-02       5.382344762249e-08      -5.381124144869e-08      -1.803713536841e-03       2.835012544216e-05      -9.997732182843e-01       7.000333796945e+01       7.020260273664e-06       9.610393490898e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614337243461e-07       5.670507367217e-05       3.229040672135e-08       3.097246256429e+06       2.000113410147e-01       6.458081344271e-09       0.000000000000e+00       6.194492512858e+05       4.000226820295e-02       2.000170115221e+00       5.479196841766e-03       5.768534543340e-09       0.000000000000e+00       2.457854928541e-02       2.662805184355e-04      -1.805172616606e-03       1.172155805420e-02       9.780930388602e-01 
       1.122447313926e+02       1.377118484327e-02       1.245087354499e+03       1.542411731946e-01       1.275910543235e+04       1.126684241769e+02       1.444901467497e+06       4.458525170803e+02       4.525338765562e-04       3.616821088542e-03       1.940808741052e-02       3.128433097788e-04       2.379033950844e-02       5.382305077974e-08      -5.381064362101e-08      -1.843717794120e-03       2.881718697149e-05      -9.997694824328e-01       7.000339351781e+01       7.096091828061e-06       9.660380899581e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614319308630e-07       5.763935695535e-05       3.229010832023e-08       3.097280666011e+06       2.000115278714e-01       6.458021664045e-09       0.000000000000e+00       6.194561332021e+05       4.000230557428e-02       2.000172918071e+00       5.448894381495e-03       5.798576927500e-09       0.000000000000e+00       2.379033950844e-02       2.550719181347e-04      -1.845107735753e-03       1.184545738113e-02       9.783220680571e-01 
       1.110339848320e+02       1.400034346137e-02       1.253001243697e+03       1.517481127998e-01       1.275119154315e+04       1.138153888061e+02       1.428566799935e+06       4.475761965523e+02       4.334891232134e-04       3.502050126425e-03       1.879221927371e-02       2.996773923120e-04       2.302748973831e-02       5.382264740303e-08      -5.381003598094e-08      -1.884600729136e-03       2.929187557565e-05      -9.997656855859e-01       7.000344997854e+01       7.172741901203e-06       9.710643756321e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614301079428e-07       5.858889968757e-05       3.228980501519e-08       3.097315641149e+06       2.000117177799e-01       6.457961003039e-09       0.000000000000e+00       6.194631282298e+05       4.000234355599e-02       2.000175766699e+00       5.418769478498e-03       5.828785664979e-09       0.000000000000e+00       2.302748973831e-02       2.443350284725e-04      -1.885924811113e-03       1.197069566872e-02       9.785487540493e-01 
       1.098361828668e+02       1.423326670394e-02       1.260959141837e+03       1.492956147635e-01       1.274323364501e+04       1.149735881858e+02       1.412411374593e+06       4.493014840102e+02       4.152458626398e-04       3.390921139794e-03       1.819589420438e-02       2.870655585584e-04       2.228918058761e-02       5.382223738612e-08      -5.380941836870e-08      -1.926381628876e-03       2.977431604581e-05      -9.997618267460e-01       7.000350736650e+01       7.250219311743e-06       9.761183445852e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614282551061e-07       5.955395162616e-05       3.228949672644e-08       3.097351191079e+06       2.000119107903e-01       6.457899345289e-09       0.000000000000e+00       6.194702382158e+05       4.000238215807e-02       2.000178661855e+00       5.388820947253e-03       5.859161610162e-09       0.000000000000e+00       2.228918058761e-02       2.340499976477e-04      -1.927642974075e-03       1.209728738689e-02       9.787731196192e-01 
       1.086511871010e+02       1.447001599639e-02       1.268961279462e+03       1.468830122470e-01       1.273523150739e+04       1.161431247950e+02       1.396433252791e+06       4.510283658083e+02       3.977703642511e-04       3.283318559476e-03       1.761849205114e-02       2.749844900701e-04       2.157461928676e-02       5.382182062028e-08      -5.380879062190e-08      -1.969079984618e-03       3.026463352918e-05      -9.997579049125e-01       7.000356569682e+01       7.328532972885e-06       9.812001359328e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614263718657e-07       6.053476324563e-05       3.228918337265e-08       3.097387325187e+06       2.000121069526e-01       6.457836674531e-09       0.000000000000e+00       6.194774650374e+05       4.000242139053e-02       2.000181604290e+00       5.359047612281e-03       5.889705621772e-09       0.000000000000e+00       2.157461928676e-02       2.241978093164e-04      -1.970281567712e-03       1.222524716190e-02       9.789951873502e-01 
       1.074788606181e+02       1.471065376392e-02       1.277007888385e+03       1.445096495509e-01       1.272718489846e+04       1.173241019120e+02       1.380630516662e+06       4.527568283838e+02       3.810303170045e-04       3.179130483598e-03       1.705941234156e-02       2.634118497490e-04       2.088303881331e-02       5.382139699550e-08      -5.380815257556e-08      -2.012715850084e-03       3.076295627497e-05      -9.997539190603e-01       7.000362498486e+01       7.407691893408e-06       9.863098894276e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614244577267e-07       6.153159123090e-05       3.228886487132e-08       3.097424053012e+06       2.000123063182e-01       6.457772974263e-09       0.000000000000e+00       6.194848106023e+05       4.000246126365e-02       2.000184594774e+00       5.329448308021e-03       5.920418562894e-09       0.000000000000e+00       2.088303881331e-02       2.147602474319e-04      -2.013860504580e-03       1.235458977806e-02       9.792149796251e-01 
       1.063190679657e+02       1.495524344762e-02       1.285099201688e+03       1.421748819242e-01       1.271909358516e+04       1.185166236183e+02       1.365001268928e+06       4.544868582574e+02       3.649947696578e-04       3.078248561223e-03       1.651807365777e-02       2.523262405473e-04       2.021369705016e-02       5.382096640030e-08      -5.380750406197e-08      -2.057309808517e-03       3.126941531777e-05      -9.997498681419e-01       7.000368524624e+01       7.487705178673e-06       9.914477454610e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614225121859e-07       6.254469784395e-05       3.228854113868e-08       3.097461384247e+06       2.000125089396e-01       6.457708227736e-09       0.000000000000e+00       6.194922768495e+05       4.000250178791e-02       2.000187634094e+00       5.300021878721e-03       5.951301300982e-09       0.000000000000e+00       2.021369705016e-02       2.057198625643e-04      -2.058400233464e-03       1.248533017949e-02       9.794325186288e-01 
       1.051716751393e+02       1.520384952066e-02       1.293235453737e+03       1.398780753777e-01       1.271095733311e+04       1.197207948018e+02       1.349543632680e+06       4.562184420332e+02       3.496340735428e-04       2.980567879663e-03       1.599391303173e-02       2.417071659054e-04       1.956587597137e-02       5.382052872063e-08      -5.380684491076e-08      -2.102882662185e-03       3.178414207356e-05      -9.997457511067e-01       7.000374649683e+01       7.568582031634e-06       9.966138450684e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614205347323e-07       6.357434611526e-05       3.228821208942e-08       3.097499328747e+06       2.000127148692e-01       6.457642417883e-09       0.000000000000e+00       6.194998657493e+05       4.000254297384e-02       2.000190723038e+00       5.270767178355e-03       5.982354707881e-09       0.000000000000e+00       1.956587597137e-02       1.970599396378e-04      -2.103921428558e-03       1.261748347172e-02       9.796478263510e-01 
       1.040365495671e+02       1.545653750553e-02       1.301416880186e+03       1.376186064997e-01       1.270277590666e+04       1.209367211605e+02       1.334255751161e+06       4.579515663985e+02       3.349198277463e-04       2.885986855379e-03       1.548638535985e-02       2.315349918553e-04       1.893888085491e-02       5.382008384105e-08      -5.380617494876e-08      -2.149455813272e-03       3.230727121133e-05      -9.997415668781e-01       7.000380875276e+01       7.650331753882e-06       1.001808329925e-08       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614185248463e-07       6.462080558833e-05       3.228787763694e-08       3.097537896522e+06       2.000129241611e-01       6.457575527389e-09       0.000000000000e+00       6.195075793044e+05       4.000258483222e-02       2.000193862417e+00       5.241683070489e-03       6.013579659838e-09       0.000000000000e+00       1.893888085491e-02       1.887644670256e-04      -2.150445370059e-03       1.275106492355e-02       9.798609245840e-01 
       1.029135600950e+02       1.571337399100e-02       1.309643717980e+03       1.353958622755e-01       1.269454906887e+04       1.221645092061e+02       1.319135787547e+06       4.596862181243e+02       3.208248265995e-04       2.794407128337e-03       1.499496283605e-02       2.217909107190e-04       1.833203952133e-02       5.381963164450e-08      -5.380549400002e-08      -2.197051199486e-03       3.283894010224e-05      -9.997373143581e-01       7.000387203040e+01       7.732963746695e-06       1.007031342346e-08       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614164820001e-07       6.568435121790e-05       3.228753769336e-08       3.097577097750e+06       2.000131368702e-01       6.457507538671e-09       0.000000000000e+00       6.195154195500e+05       4.000262737405e-02       2.000197053054e+00       5.212768428190e-03       6.044977037523e-09       0.000000000000e+00       1.833203952133e-02       1.808181069455e-04      -2.197993879480e-03       1.288608996878e-02       9.800718349249e-01 
       1.018025769707e+02       1.597442664905e-02       1.317916205368e+03       1.332092399103e-01       1.268627658148e+04       1.234042662675e+02       1.304181924740e+06       4.614223840649e+02       3.073230093757e-04       2.705733459715e-03       1.451913440288e-02       2.124569063336e-04       1.774470159748e-02       5.381917201125e-08      -5.380480188572e-08      -2.245690999110e-03       3.337928657346e-05      -9.997329924450e-01       7.000393634642e+01       7.816487512067e-06       1.012283025293e-08       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614144056572e-07       6.676525887706e-05       3.228719216909e-08       3.097616942773e+06       2.000133530518e-01       6.457438433818e-09       0.000000000000e+00       6.195233885546e+05       4.000267061036e-02       2.000200295777e+00       5.184022133935e-03       6.076547726039e-09       0.000000000000e+00       1.774470159748e-02       1.732061671012e-04      -2.246589024426e-03       1.302257420796e-02       9.802805787793e-01 
       1.007034718295e+02       1.623976425303e-02       1.326234581906e+03       1.310581466544e-01       1.267795820494e+04       1.246561004938e+02       1.289392365152e+06       4.631600511584e+02       2.943894121063e-04       2.619873632867e-03       1.405840522006e-02       2.035157207413e-04       1.717623780448e-02       5.381870482019e-08      -5.380409842415e-08      -2.295398052086e-03       3.392845202825e-05      -9.997286000083e-01       7.000400171774e+01       7.900912653799e-06       1.017563522370e-08       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614122952725e-07       6.786381159873e-05       3.228684097330e-08       3.097657442100e+06       2.000135727623e-01       6.457368194661e-09       0.000000000000e+00       6.195314884201e+05       4.000271455246e-02       2.000203591435e+00       5.155443079490e-03       6.108292614940e-09       0.000000000000e+00       1.717623780448e-02       1.659145735174e-04      -2.296253539419e-03       1.316053341021e-02       9.804871773595e-01 
       9.961611767880e+01       1.650945669543e-02       1.334599088468e+03       1.289419996324e-01       1.266959369838e+04       1.259201208580e+02       1.274765330499e+06       4.648992064264e+02       2.820001214239e-04       2.536738357411e-03       1.361229614984e-02       1.949508222802e-04       1.662603926919e-02       5.381822994845e-08      -5.380338343067e-08      -2.346195753239e-03       3.448658058375e-05      -9.997241358962e-01       7.000406816157e+01       7.986248878570e-06       1.022872977821e-08       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614101502920e-07       6.898029785130e-05       3.228648401374e-08       3.097698606415e+06       2.000137960596e-01       6.457296802747e-09       0.000000000000e+00       6.195397212830e+05       4.000275921191e-02       2.000206940894e+00       5.127030165815e-03       6.140212598248e-09       0.000000000000e+00       1.662603926919e-02       1.589298445179e-04      -2.347010718870e-03       1.329998351508e-02       9.806916516865e-01 
       9.854038888394e+01       1.678357500563e-02       1.343009967246e+03       1.268602256748e-01       1.266118281960e+04       1.271964371604e+02       1.260299061594e+06       4.666398369740e+02       2.701322303479e-04       2.456241176380e-03       1.318034325876e-02       1.867463750186e-04       1.609351685825e-02       5.381774727039e-08      -5.380265671764e-08      -2.398107769934e-03       3.505381695401e-05      -9.997195989517e-01       7.000413569537e+01       8.072505997003e-06       1.028211536537e-08       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614079701529e-07       7.011500730392e-05       3.228612119641e-08       3.097740446573e+06       2.000140230015e-01       6.457224239282e-09       0.000000000000e+00       6.195480893146e+05       4.000280460029e-02       2.000210345022e+00       5.098782302981e-03       6.172308574465e-09       0.000000000000e+00       1.609351685825e-02       1.522390657988e-04      -2.398884134498e-03       1.344094063432e-02       9.808940225934e-01 
       9.747616115339e+01       1.706219136898e-02       1.351467461766e+03       1.248122611528e-01       1.265272532508e+04       1.284851600315e+02       1.245991818142e+06       4.683819299898e+02       2.587637959313e-04       2.378298376307e-03       1.276209733511e-02       1.788872094751e-04       1.557810053408e-02       5.381725665895e-08      -5.380191809438e-08      -2.451158471569e-03       3.563030957677e-05      -9.997149879886e-01       7.000420433692e+01       8.159693924793e-06       1.033579344053e-08       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614057542831e-07       7.126823708159e-05       3.228575242600e-08       3.097782973607e+06       2.000142536474e-01       6.457150485200e-09       0.000000000000e+00       6.195565947213e+05       4.000285072948e-02       2.000213804711e+00       5.070698410055e-03       6.204581446588e-09       0.000000000000e+00       1.557810053408e-02       1.458298665507e-04      -2.451898064596e-03       1.358342105380e-02       9.810943107233e-01 
       9.642331152449e+01       1.734537914549e-02       1.359971816888e+03       1.227975518161e-01       1.264422096996e+04       1.297864009353e+02       1.231841878541e+06       4.701254727462e+02       2.478737986894e-04       2.302828900165e-03       1.235712342185e-02       1.713587945715e-04       1.507923873203e-02       5.381675798512e-08      -5.380116736712e-08      -2.505372801840e-03       3.621620960973e-05      -9.997103017984e-01       7.000427410427e+01       8.247822683801e-06       1.038976546547e-08       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614035021014e-07       7.244028975761e-05       3.228537760567e-08       3.097826198729e+06       2.000144880580e-01       6.457075521134e-09       0.000000000000e+00       6.195652397458e+05       4.000289761159e-02       2.000217320869e+00       5.042777415003e-03       6.237032122127e-09       0.000000000000e+00       1.507923873203e-02       1.396903965863e-04      -2.506077366080e-03       1.372744123537e-02       9.812925365313e-01 
       9.538171834921e+01       1.763321288834e-02       1.368523278816e+03       1.208155526331e-01       1.263566950803e+04       1.311002721725e+02       1.217847539677e+06       4.718704525989e+02       2.374421037363e-04       2.229754263075e-03       1.196500036422e-02       1.641472107657e-04       1.459639775805e-02       5.381625111707e-08      -5.380040433896e-08      -2.560776006173e-03       3.681166891906e-05      -9.997055391674e-01       7.000434501576e+01       8.336902403164e-06       1.044403290842e-08       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.614012130169e-07       7.363146932993e-05       3.228499663681e-08       3.097870133336e+06       2.000147262939e-01       6.456999327361e-09       0.000000000000e+00       6.195740266672e+05       4.000294525877e-02       2.000220894408e+00       5.015018254620e-03       6.269661513119e-09       0.000000000000e+00       1.459639775805e-02       1.338093044297e-04      -2.561447201717e-03       1.387301781875e-02       9.814887202884e-01 
       9.435126128013e+01       1.792576836409e-02       1.377122095106e+03       1.188657276345e-01       1.262707069174e+04       1.324268868835e+02       1.204007116731e+06       4.736168569872e+02       2.274494235567e-04       2.158998470683e-03       1.158532037179e-02       1.572391243154e-04       1.412906120608e-02       5.381573592150e-08      -5.379962880981e-08      -2.617394101378e-03       3.741684343939e-05      -9.997006988492e-01       7.000441709004e+01       8.426943320448e-06       1.049859724406e-08       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.613988864294e-07       7.484208794284e-05       3.228460941939e-08       3.097914789009e+06       2.000149684176e-01       6.456921883879e-09       0.000000000000e+00       6.195829578018e+05       4.000299368352e-02       2.000224526264e+00       4.987419874405e-03       6.302470536139e-09       0.000000000000e+00       1.412906120608e-02       1.281757163286e-04      -2.618033509583e-03       1.402016762345e-02       9.816828820803e-01 
       9.333182125649e+01       1.822312257209e-02       1.385768514672e+03       1.169475497590e-01       1.261842427218e+04       1.337663590515e+02       1.190318942981e+06       4.753646734338e+02       2.178772823447e-04       2.090487940131e-03       1.121768859433e-02       1.506217626248e-04       1.367672939464e-02       5.381521226304e-08      -5.379884057634e-08      -2.675253693976e-03       3.803189179376e-05      -9.996957795759e-01       7.000449034605e+01       8.517955782784e-06       1.055345995349e-08       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.613965217290e-07       7.607246312658e-05       3.228421585182e-08       3.097960177518e+06       2.000152144926e-01       6.456843170363e-09       0.000000000000e+00       6.195920355036e+05       4.000304289853e-02       2.000228217389e+00       4.959981228482e-03       6.335460112320e-09       0.000000000000e+00       1.367672939464e-02       1.227792161493e-04      -2.675862821201e-03       1.416890765075e-02       9.818750418072e-01 
