# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.852991084931e-01       1.005292099726e+03 
       2.885050270209e-01       9.808111190850e+02 
       2.917109464204e-01       9.581763079015e+02 
       2.949168666631e-01       9.373436052321e+02 
       2.981227877214e-01       9.182193996692e+02 
       3.013287095694e-01       9.005425306100e+02 
       3.045346321818e-01       8.840845766137e+02 
       3.077405555348e-01       8.685857818912e+02 
       3.109464796052e-01       8.537706345526e+02 
       3.141524043710e-01       8.392751375739e+02 
       3.173583298110e-01       8.249674726478e+02 
       3.205642559050e-01       8.106417389065e+02 
       3.237701826333e-01       7.960607065116e+02 
       3.269761099772e-01       7.812905105019e+02 
       3.301820379187e-01       7.662374894016e+02 
       3.333879664405e-01       7.510683096311e+02 
       3.365938955258e-01       7.358744251543e+02 
       3.397998251588e-01       7.208425397363e+02 
       3.430057553240e-01       7.060025242062e+02 
       3.462116860065e-01       6.915839233397e+02 
       3.494176171919e-01       6.776628765057e+02 
       3.526235488666e-01       6.643194747650e+02 
       3.558294810173e-01       6.516084257340e+02 
       3.590354136310e-01       6.395426154922e+02 
       3.622413466956e-01       6.281305080947e+02 
       3.654472801990e-01       6.173227847466e+02 
       3.686532141299e-01       6.070653593994e+02 
       3.718591484769e-01       5.972198342179e+02 
       3.750650832296e-01       5.877258256249e+02 
       3.782710183774e-01       5.784187909558e+02 
       3.814769539104e-01       5.693108925558e+02 
       3.846828898190e-01       5.602614135091e+02 
       3.878888260937e-01       5.513010143923e+02 
       3.910947627255e-01       5.423771835598e+02 
       3.943006997057e-01       5.334824495806e+02 
       3.975066370259e-01       5.246379943094e+02 
       4.007125746778e-01       5.158315760291e+02 
       4.039185126534e-01       5.071218835480e+02 
       4.071244509452e-01       4.985407838771e+02 
       4.103303895457e-01       4.901353345791e+02 
       4.135363284476e-01       4.819626809227e+02 
       4.167422676441e-01       4.740011922162e+02 
       4.199482071282e-01       4.662871327057e+02 
       4.231541468936e-01       4.588374632656e+02 
       4.263600869337e-01       4.516368564638e+02 
       4.295660272424e-01       4.446748865365e+02 
       4.327719678137e-01       4.379461887336e+02 
       4.359779086419e-01       4.314258393890e+02 
       4.391838497212e-01       4.250964576093e+02 
       4.423897910462e-01       4.189319360124e+02 
       4.455957326115e-01       4.128909155618e+02 
       4.488016744121e-01       4.069790986064e+02 
