# Matter power spectrum P(k) at redshift z=0
# for k=1.04299e-05 to 1.0606 h/Mpc,
# number of wavenumbers equal to 562
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.342079076530e-02       2.466299132133e+04 
       2.355658611947e-02       2.456956141379e+04 
       2.369249073385e-02       2.447253074511e+04 
       2.382850687751e-02       2.437195398519e+04 
       2.396463687425e-02       2.426740317582e+04 
       2.410088310399e-02       2.415873517824e+04 
       2.423724800418e-02       2.404574336916e+04 
       2.437373407126e-02       2.392812254644e+04 
       2.451034386217e-02       2.380556455997e+04 
       2.464707999586e-02       2.367765148811e+04 
       2.478394515497e-02       2.354404773825e+04 
       2.492094208740e-02       2.340410687567e+04 
       2.505807360808e-02       2.325731763951e+04 
       2.519534260070e-02       2.310291428494e+04 
       2.533275201955e-02       2.294008170557e+04 
       2.547030489138e-02       2.276769201359e+04 
       2.560800431736e-02       2.258410245510e+04 
       2.574585347507e-02       2.238648722533e+04 
       2.588385562060e-02       2.217092468253e+04 
       2.602201409066e-02       2.193381189391e+04 
       2.616033230484e-02       2.167352411806e+04 
       2.629881376784e-02       2.139299566955e+04 
       2.643746207189e-02       2.110036338162e+04 
       2.657628089919e-02       2.080707710278e+04 
       2.671527402441e-02       2.052532226653e+04 
       2.685444531738e-02       2.026417647518e+04 
       2.699379874572e-02       2.002755031810e+04 
       2.713333837773e-02       1.981460837208e+04 
       2.727306838522e-02       1.962150579147e+04 
       2.741299304661e-02       1.944388830528e+04 
       2.755311674998e-02       1.927810309019e+04 
       2.769344399631e-02       1.912194059871e+04 
       2.783397940288e-02       1.897371248295e+04 
       2.797472770669e-02       1.883247526412e+04 
       2.811569376808e-02       1.869729914346e+04 
       2.825688257447e-02       1.856745724537e+04 
       2.839829924424e-02       1.844229831549e+04 
       2.853994903071e-02       1.832140835183e+04 
       2.868183732636e-02       1.820426179731e+04 
       2.882396966713e-02       1.809054996136e+04 
       2.896635173694e-02       1.798004005076e+04 
       2.910898937233e-02       1.787231149557e+04 
       2.925188856736e-02       1.776715980781e+04 
       2.939505547861e-02       1.766446282086e+04 
       2.953849643045e-02       1.756395336270e+04 
       2.968221792050e-02       1.746552489333e+04 
       2.982622662529e-02       1.736898998711e+04 
       2.997052940618e-02       1.727422743906e+04 
       3.011513331549e-02       1.718102486338e+04 
       3.026004560292e-02       1.708940984847e+04 
       3.040527372222e-02       1.699924616602e+04 
       3.055082533811e-02       1.691042839150e+04 
       3.069670833356e-02       1.682284653144e+04 
       3.084293081731e-02       1.673652328942e+04 
       3.098950113178e-02       1.665114357035e+04 
       3.113642786125e-02       1.656692591349e+04 
       3.128371984048e-02       1.648373273008e+04 
       3.143138616364e-02       1.640142638434e+04 
       3.157943619368e-02       1.632001907623e+04 
       3.172787957211e-02       1.623949613620e+04 
       3.187672622922e-02       1.615973069796e+04 
       3.202598639477e-02       1.608079293242e+04 
       3.217567060919e-02       1.600259868657e+04 
       3.232578973529e-02       1.592497184178e+04 
       3.247635497049e-02       1.584811340376e+04 
       3.262737785971e-02       1.577188240929e+04 
       3.277887030880e-02       1.569620161170e+04 
       3.293084459865e-02       1.562120826383e+04 
       3.308331340004e-02       1.554671916932e+04 
       3.323628978911e-02       1.547274737457e+04 
       3.338978726374e-02       1.539933148675e+04 
       3.354381976063e-02       1.532641440511e+04 
       3.369840167335e-02       1.525397287625e+04 
       3.385354787126e-02       1.518198937485e+04 
       3.400927371943e-02       1.511043337741e+04 
       3.416559509960e-02       1.503936494018e+04 
       3.432252843227e-02       1.496867623519e+04 
       3.448009069997e-02       1.489841120525e+04 
       3.463829947176e-02       1.482853366177e+04 
       3.479717292914e-02       1.475901200470e+04 
       3.495672989332e-02       1.468989003860e+04 
       3.511698985407e-02       1.462114890216e+04 
       3.527797300018e-02       1.455271383981e+04 
       3.543970025165e-02       1.448463958500e+04 
       3.560219329384e-02       1.441687846267e+04 
       3.576547461343e-02       1.434951561836e+04 
       3.592956753674e-02       1.428242562823e+04 
       3.609449627018e-02       1.421559241078e+04 
       3.626028594319e-02       1.414909377714e+04 
