# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   72       2.248080909692e-10       4.434095733780e-14      -1.136552967036e-12       0.000000000000e+00       2.232492189558e-11       2.465696589103e-12      -9.521252765132e-15 
   73       2.285026787869e-10       4.603565771292e-14      -1.199016316846e-12       0.000000000000e+00       2.157642988959e-11       2.389984901503e-12      -9.334164101073e-15 
   74       2.322256489471e-10       4.775504103487e-14      -1.262774583229e-12       0.000000000000e+00       2.086114507910e-11       2.317369688901e-12      -9.152950467500e-15 
   75       2.359762974150e-10       4.949830455659e-14      -1.327802456925e-12       0.000000000000e+00       2.017543008623e-11       2.247545868429e-12      -8.978233529337e-15 
   76       2.397539139789e-10       5.126454675274e-14      -1.394071961613e-12       0.000000000000e+00       1.951571010440e-11       2.180216432327e-12      -8.810655607527e-15 
   77       2.435587370444e-10       5.305253589787e-14      -1.461547045010e-12       0.000000000000e+00       1.888143942401e-11       2.115374125668e-12      -8.651119784447e-15 
   78       2.473911446507e-10       5.486089977188e-14      -1.530188045936e-12       0.000000000000e+00       1.827261334866e-11       2.053065249169e-12      -8.500586993378e-15 
   79       2.512513578672e-10       5.668819302699e-14      -1.599953292385e-12       0.000000000000e+00       1.768886468707e-11       1.993303905759e-12      -8.360001805051e-15 
   80       2.551394309723e-10       5.853289608193e-14      -1.670799093827e-12       0.000000000000e+00       1.712944713442e-11       1.936070450770e-12      -8.230290246144e-15 
   81       2.590552416308e-10       6.039341401597e-14      -1.742679733503e-12       0.000000000000e+00       1.659321865370e-11       1.881309942112e-12      -8.112357617779e-15 
   82       2.629984810718e-10       6.226807546306e-14      -1.815547460724e-12       0.000000000000e+00       1.607862485706e-11       1.828930590461e-12      -8.007086314021e-15 
