# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  109       4.069531529933e-10       1.230951809990e-13      -4.015986832321e-12       0.000000000000e+00       7.830253853109e-12       1.283893361907e-12      -6.592291673472e-15 
  110       4.114521536317e-10       1.247951159168e-13      -4.103273371832e-12       0.000000000000e+00       7.640999186306e-12       1.259152018973e-12      -6.543263000366e-15 
  111       4.159721703138e-10       1.264542967386e-13      -4.189856664423e-12       0.000000000000e+00       7.457916031191e-12       1.235166298872e-12      -6.496392225155e-15 
  112       4.205122473802e-10       1.280709216102e-13      -4.275658948240e-12       0.000000000000e+00       7.280733477339e-12       1.211897115594e-12      -6.450676172818e-15 
  113       4.250712882663e-10       1.296431982257e-13      -4.360601837906e-12       0.000000000000e+00       7.109123803000e-12       1.189297632737e-12      -6.405025015315e-15 
  114       4.296480510818e-10       1.311693449133e-13      -4.444606350609e-12       0.000000000000e+00       6.942700855770e-12       1.167313042967e-12      -6.358260199886e-15 
  115       4.342411441884e-10       1.326475917218e-13      -4.527592932188e-12       0.000000000000e+00       6.781018433268e-12       1.145880347480e-12      -6.309112377340e-15 
  116       4.388492134787e-10       1.340762313511e-13      -4.609482440691e-12       0.000000000000e+00       6.623668109149e-12       1.124942181502e-12      -6.256491371244e-15 
  117       4.434715394929e-10       1.354537766477e-13      -4.690199176932e-12       0.000000000000e+00       6.470589666391e-12       1.104490669244e-12      -6.200337751750e-15 
  118       4.481075049355e-10       1.367788243864e-13      -4.769668273095e-12       0.000000000000e+00       6.321795541673e-12       1.084528511563e-12      -6.140871388670e-15 
  119       4.527564067745e-10       1.380500086494e-13      -4.847814802420e-12       0.000000000000e+00       6.177274025173e-12       1.065055321714e-12      -6.078329004643e-15 
  120       4.574174535157e-10       1.392660023537e-13      -4.924563813752e-12       0.000000000000e+00       6.036988520510e-12       1.046067529000e-12      -6.012964508747e-15 
  121       4.620897624756e-10       1.404255187774e-13      -4.999840366101e-12       0.000000000000e+00       5.900876804688e-12       1.027558282431e-12      -5.945049330102e-15 
  122       4.667723570555e-10       1.415273130868e-13      -5.073569563192e-12       0.000000000000e+00       5.768850288044e-12       1.009517354370e-12      -5.874872751483e-15 
  123       4.714641640150e-10       1.425701838635e-13      -5.145676588021e-12       0.000000000000e+00       5.640793274190e-12       9.919310441904e-13      -5.802742242920e-15 
  124       4.761640107454e-10       1.435529746309e-13      -5.216086737409e-12       0.000000000000e+00       5.516562219959e-12       9.747820819288e-13      -5.728983795312e-15 
  125       4.808706225434e-10       1.444745753816e-13      -5.284725456559e-12       0.000000000000e+00       5.395984995348e-12       9.580495319351e-13      -5.653942254027e-15 
  126       4.855826198850e-10       1.453339241036e-13      -5.351518373607e-12       0.000000000000e+00       5.278860143466e-12       9.417086965274e-13      -5.577981652517e-15 
  127       4.902985156986e-10       1.461300083080e-13      -5.416391334177e-12       0.000000000000e+00       5.164956140476e-12       9.257310196445e-13      -5.501485545920e-15 
  128       4.950167126387e-10       1.468618665552e-13      -5.479270435937e-12       0.000000000000e+00       5.054010655539e-12       9.100839904987e-13      -5.424857344666e-15 
  129       4.997356623172e-10       1.475286297986e-13      -5.540082816026e-12       0.000000000000e+00       4.945786925949e-12       8.947388216064e-13      -5.348458128131e-15 
  130       5.044543685351e-10       1.481296472991e-13      -5.598759037612e-12       0.000000000000e+00       4.840251446698e-12       8.796946398372e-13      -5.272411663954e-15 
  131       5.091719343606e-10       1.486643774730e-13      -5.655231031659e-12       0.000000000000e+00       4.737414465862e-12       8.649567794304e-13      -5.196778529977e-15 
  132       5.138874035678e-10       1.491323511083e-13      -5.709431407076e-12       0.000000000000e+00       4.637274288631e-12       8.505292051846e-13      -5.121616604209e-15 
  133       5.185997590699e-10       1.495331731761e-13      -5.761293490654e-12       0.000000000000e+00       4.539816945951e-12       8.364144717413e-13      -5.046980951060e-15 
  134       5.233079213510e-10       1.498665246427e-13      -5.810751367010e-12       0.000000000000e+00       4.445015863163e-12       8.226136828689e-13      -4.972923707577e-15 
  135       5.280107468990e-10       1.501321642811e-13      -5.857739918529e-12       0.000000000000e+00       4.352831528644e-12       8.091264507455e-13      -4.899493969686e-15 
  136       5.327070266381e-10       1.503299304830e-13      -5.902194865305e-12       0.000000000000e+00       4.263211162445e-12       7.959508552428e-13      -4.826737678425e-15 
  137       5.373954843610e-10       1.504597430707e-13      -5.944052805082e-12       0.000000000000e+00       4.176088384935e-12       7.830834032096e-13      -4.754697506183e-15 
  138       5.420747751620e-10       1.505216051086e-13      -5.983251253196e-12       0.000000000000e+00       4.091382885437e-12       7.705189877549e-13      -4.683412742935e-15 
  139       5.467434838689e-10       1.505156047153e-13      -6.019728682520e-12       0.000000000000e+00       4.009000090872e-12       7.582508475320e-13      -4.612919182484e-15 
  140       5.514001234758e-10       1.504419168752e-13      -6.053424563401e-12       0.000000000000e+00       3.928830834396e-12       7.462705260215e-13      -4.543249008691e-15 
  141       5.560431335755e-10       1.503008052505e-13      -6.084279403602e-12       0.000000000000e+00       3.850751024042e-12       7.345678308148e-13      -4.474430681719e-15 
  142       5.606708787920e-10       1.500926239929e-13      -6.112234788248e-12       0.000000000000e+00       3.774621311358e-12       7.231307928979e-13      -4.406488824267e-15 
  143       5.652816472133e-10       1.498178195552e-13      -6.137233419765e-12       0.000000000000e+00       3.700286760051e-12       7.119456259348e-13      -4.339444107804e-15 
  144       5.698737839558e-10       1.494769412170e-13      -6.159219662195e-12       0.000000000000e+00       3.627609322782e-12       7.009996181461e-13      -4.273306148076e-15 
  145       5.744461100088e-10       1.490706700037e-13      -6.178141150306e-12       0.000000000000e+00       3.556569579627e-12       6.902902152225e-13      -4.208051642367e-15 
  146       5.789975418949e-10       1.485997960762e-13      -6.193947415785e-12       0.000000000000e+00       3.487174446462e-12       6.798167596337e-13      -4.143643850572e-15 
  147       5.835269594621e-10       1.480652121182e-13      -6.206589439571e-12       0.000000000000e+00       3.419425125905e-12       6.695776147886e-13      -4.080039239811e-15 
  148       5.880332050925e-10       1.474679151983e-13      -6.216019694694e-12       0.000000000000e+00       3.353316964513e-12       6.595701411726e-13      -4.017187330497e-15 
  149       5.925150829118e-10       1.468090086321e-13      -6.222192189115e-12       0.000000000000e+00       3.288839309968e-12       6.497906724857e-13      -3.955030542388e-15 
  150       5.969713579981e-10       1.460897038439e-13      -6.225062508570e-12       0.000000000000e+00       3.225975368278e-12       6.402344917793e-13      -3.893504040653e-15 
  151       6.014007555912e-10       1.453113222284e-13      -6.224587859405e-12       0.000000000000e+00       3.164702060962e-12       6.308958075941e-13      -3.832535581934e-15 
  152       6.058019603017e-10       1.444752970131e-13      -6.220727111421e-12       0.000000000000e+00       3.104989882249e-12       6.217677300974e-13      -3.772045360399e-15 
  153       6.101736153202e-10       1.435831751196e-13      -6.213440840710e-12       0.000000000000e+00       3.046802756267e-12       6.128422472207e-13      -3.711945853811e-15 
  154       6.145143216262e-10       1.426366190258e-13      -6.202691372500e-12       0.000000000000e+00       2.990097894238e-12       6.041102007971e-13      -3.652141669583e-15 
  155       6.188226371975e-10       1.416374086278e-13      -6.188442823995e-12       0.000000000000e+00       2.934825651669e-12       5.955612626989e-13      -3.592529390840e-15 
  156       6.230970762191e-10       1.405874431018e-13      -6.170661147209e-12       0.000000000000e+00       2.880929385545e-12       5.871839109749e-13      -3.532997422481e-15 
  157       6.273361082925e-10       1.394887427656e-13      -6.149314171817e-12       0.000000000000e+00       2.828345311523e-12       5.789654059881e-13      -3.473425837237e-15 
  158       6.315381576448e-10       1.383434509410e-13      -6.124371647985e-12       0.000000000000e+00       2.777002361125e-12       5.708917665528e-13      -3.413686221733e-15 
  159       6.357016023378e-10       1.371538358154e-13      -6.095805289218e-12       0.000000000000e+00       2.726822038929e-12       5.629477460728e-13      -3.353641522546e-15 
  160       6.398247734769e-10       1.359222923038e-13      -6.063588815196e-12       0.000000000000e+00       2.677718279763e-12       5.551168086780e-13      -3.293145892272e-15 
  161       6.439060697780e-10       1.346512856387e-13      -6.027697763359e-12       0.000000000000e+00       2.629615077628e-12       5.473847630303e-13      -3.232081199728e-15 
  162       6.479443143121e-10       1.333431726262e-13      -5.988108814998e-12       0.000000000000e+00       2.582501424226e-12       5.397510749589e-13      -3.170470512108e-15 
  163       6.519384279438e-10       1.320003680679e-13      -5.944800491165e-12       0.000000000000e+00       2.536380978480e-12       5.322185142834e-13      -3.108374400878e-15 
  164       6.558873165533e-10       1.306254031921e-13      -5.897753420013e-12       0.000000000000e+00       2.491254671214e-12       5.247895801447e-13      -3.045855194848e-15 
  165       6.597898707763e-10       1.292209272478e-13      -5.846950378577e-12       0.000000000000e+00       2.447120644105e-12       5.174664939707e-13      -2.982976994921e-15 
  166       6.636449657438e-10       1.277897090982e-13      -5.792376334544e-12       0.000000000000e+00       2.403974188644e-12       5.102511924424e-13      -2.919805688841e-15 
  167       6.674514608221e-10       1.263346388149e-13      -5.734018488036e-12       0.000000000000e+00       2.361807685096e-12       5.031453204595e-13      -2.856408965939e-15 
  168       6.712081993523e-10       1.248587292710e-13      -5.671866313381e-12       0.000000000000e+00       2.320610541453e-12       4.961502241071e-13      -2.792856331882e-15 
  169       6.749140083909e-10       1.233651177357e-13      -5.605911600893e-12       0.000000000000e+00       2.280369132397e-12       4.892669436207e-13      -2.729219123419e-15 
  170       6.785676984488e-10       1.218570674674e-13      -5.536148498648e-12       0.000000000000e+00       2.241066738259e-12       4.824962063529e-13      -2.665570523133e-15 
  171       6.821680632319e-10       1.203379693078e-13      -5.462573554257e-12       0.000000000000e+00       2.202683483971e-12       4.758384197391e-13      -2.601985574183e-15 
  172       6.857138793807e-10       1.188113432758e-13      -5.385185756648e-12       0.000000000000e+00       2.165196278032e-12       4.692936642634e-13      -2.538541195054e-15 
  173       6.892039062098e-10       1.172808401609e-13      -5.303986577838e-12       0.000000000000e+00       2.128578751461e-12       4.628616864246e-13      -2.475316194305e-15 
  174       6.926368854484e-10       1.157502431173e-13      -5.218980014710e-12       0.000000000000e+00       2.092801196758e-12       4.565418917020e-13      -2.412391285317e-15 
