# Matter power spectrum P(k) at redshift z=0
# for k=1.05305e-05 to 1.16662 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.169747479123e-02       1.817856128862e+04 
       3.184504087869e-02       1.810720043471e+04 
       3.199305834258e-02       1.803589857503e+04 
       3.214153894054e-02       1.796455327771e+04 
       3.229049480142e-02       1.789312175713e+04 
       3.243993843993e-02       1.782163982478e+04 
       3.258988277206e-02       1.775023872652e+04 
       3.274034113131e-02       1.767867327491e+04 
       3.289132728567e-02       1.760714467593e+04 
       3.304285545547e-02       1.753560974649e+04 
       3.319494033224e-02       1.746409188208e+04 
       3.334759709846e-02       1.739252011458e+04 
       3.350084144838e-02       1.732098077851e+04 
       3.365468960996e-02       1.724943173887e+04 
       3.380915836797e-02       1.717786298758e+04 
       3.396426508839e-02       1.710627963870e+04 
       3.412002774408e-02       1.703480616752e+04 
       3.427646494194e-02       1.696330172150e+04 
       3.443359595157e-02       1.689177704783e+04 
       3.459144073554e-02       1.682025689115e+04 
       3.475001998146e-02       1.674876629137e+04 
       3.490935513583e-02       1.667735968743e+04 
       3.506946843994e-02       1.660593318604e+04 
       3.523038296791e-02       1.653456592681e+04 
       3.539212266695e-02       1.646320219595e+04 
       3.555471240014e-02       1.639185678921e+04 
       3.571817799184e-02       1.632052956945e+04 
       3.588254627586e-02       1.624930925731e+04 
       3.604784514680e-02       1.617800452056e+04 
       3.621410361450e-02       1.610679478527e+04 
       3.638135186218e-02       1.603565157593e+04 
       3.654962130830e-02       1.596454544057e+04 
       3.671894467251e-02       1.589342040166e+04 
       3.688935604610e-02       1.582236916121e+04 
       3.706089096718e-02       1.575132691892e+04 
       3.723358650113e-02       1.568034598981e+04 
       3.740748132657e-02       1.560940595660e+04 
       3.758261582753e-02       1.553842486922e+04 
       3.775903219218e-02       1.546757116299e+04 
       3.793677451876e-02       1.539671800370e+04 
       3.811588892939e-02       1.532591844409e+04 
       3.829642369238e-02       1.525509641669e+04 
       3.847842935379e-02       1.518432020667e+04 
       3.866195887927e-02       1.511358034721e+04 
       3.884706780690e-02       1.504283413308e+04 
       3.903381441224e-02       1.497213932656e+04 
       3.922225988669e-02       1.490143892153e+04 
       3.941246853053e-02       1.483077925212e+04 
       3.960450796192e-02       1.476007302136e+04 
       3.979844934376e-02       1.468940679363e+04 
       3.999436762991e-02       1.461874126469e+04 
       4.019234183306e-02       1.454810707134e+04 
       4.039245531632e-02       1.447737817022e+04 
       4.059479611126e-02       1.440667503220e+04 
       4.079945726517e-02       1.433598125613e+04 
       4.100653722080e-02       1.426521494636e+04 
       4.121614023235e-02       1.419443914733e+04 
       4.142837682174e-02       1.412359520925e+04 
       4.164336427999e-02       1.405277813263e+04 
       4.186122721910e-02       1.398181431542e+04 
       4.208209818044e-02       1.391082422359e+04 
       4.230611830682e-02       1.383972831963e+04 
       4.253343808618e-02       1.376860441483e+04 
       4.276421817615e-02       1.369733467875e+04 
       4.299863032015e-02       1.362595958763e+04 
       4.323685836714e-02       1.355447241654e+04 
       4.347909940949e-02       1.348280513619e+04 
       4.372556505510e-02       1.341107598551e+04 
       4.397648285328e-02       1.333915061036e+04 
       4.423209789654e-02       1.326703830181e+04 
       4.449267462459e-02       1.319472152612e+04 
       4.475849886142e-02       1.312221408698e+04 
       4.502988012167e-02       1.304945600237e+04 
       4.530715422924e-02       1.297643945908e+04 
       4.559068629913e-02       1.290313991524e+04 
       4.588087414328e-02       1.282947057274e+04 
       4.617815217279e-02       1.275555225494e+04 
       4.648299588376e-02       1.268124458720e+04 
       4.679592703178e-02       1.260652816649e+04 
       4.711751962173e-02       1.253133530209e+04 
       4.744840686749e-02       1.245575816726e+04 
       4.778928930952e-02       1.237958908867e+04 
       4.814094432093e-02       1.230287255794e+04 
       4.850423728587e-02       1.222551738280e+04 
       4.888013480085e-02       1.214749378844e+04 
       4.926972033439e-02       1.206869069993e+04 
       4.967421288773e-02       1.198907800318e+04 
       5.009498933562e-02       1.190854100920e+04 
       5.053361130033e-02       1.182703684986e+04 
       5.099185763353e-02       1.174434680755e+04 
       5.147176386295e-02       1.166046146820e+04 
       5.197567031882e-02       1.157512605801e+04 
       5.250628110546e-02       1.148821796612e+04 
